,weekly change,cumulative change
2016-07-01,,1.0
2016-07-08,-0.057749110222411915,0.9422508897775881
2016-07-15,0.03874762012394117,0.9787608693161356
2016-07-22,0.016881443456945755,0.995283765589367
2016-07-29,-0.013491779235620949,0.9818556167472378
2016-08-05,-0.11395090160396826,0.8699722839739698
2016-08-12,0.025991916353456546,0.8925845308088467
2016-08-19,-0.02404330309744762,0.8711238503945166
2016-08-26,0.011588022511557217,0.8812184531832427
2016-09-02,0.0019604069207952435,0.8829459999375956
2016-09-09,0.0823368043229531,0.9556449519621916
2016-09-16,-0.016909184144582312,0.9394857754926224
2016-09-23,-0.011423279140602371,0.9287537672305448
2016-09-30,0.0170092095617127,0.9445511346885993
2016-10-07,0.002189528429661136,0.9466192562512686
2016-10-14,0.029984315051776678,0.9750029862647852
2016-10-21,-0.004899891181317506,0.9702255777306281
2016-10-28,0.06939850305728679,1.037557780453025
2016-11-04,-0.00783868639071128,1.0294246903998112
2016-11-11,0.03425599436237947,1.0646886567906413
2016-11-18,0.027890367604070487,1.0943832148124164
2016-11-25,-0.005783475578508779,1.0880538762160188
2016-12-02,0.015706811661445164,1.1051437335272492
2016-12-09,0.012880799897901252,1.1193788688172333
2016-12-16,0.009977748177290913,1.1305477492852725
2016-12-23,0.09804855032728788,1.2413963171784714
2016-12-30,0.1248369349067664,1.3963684284195799
2017-01-06,0.05311121611444891,1.4705312537967656
2017-01-13,-0.19254481885465546,1.187388079914358
2017-01-20,0.11247592506397064,1.3209406526126573
2017-01-27,0.021715197619428084,1.3496251399276773
2017-02-03,0.09727127417135084,1.4809048969421301
2017-02-10,-0.013419697406658826,1.4610316013371274
2017-02-17,0.03952421857138555,1.5187777336880774
2017-02-24,0.1288252995425383,1.7144347301689815
2017-03-03,0.09191129857595004,1.872010652542521
2017-03-10,-0.04351710942749554,1.7905461601263908
2017-03-17,0.1313603581851026,2.0257529450675538
2017-03-24,-0.08769710326749547,1.8481002798495314
2017-03-31,0.029736186254083474,1.9030557339873608
2017-04-07,0.10919235592239485,2.110854873033063
2017-04-14,0.02873619793192006,2.171512816470099
2017-04-21,0.03501244007466986,2.247542778828136
2017-04-28,0.12037551230191812,2.5180918922500495
2017-05-05,0.3042546136960582,3.2842329681777644
2017-05-12,0.23673781869929011,4.061735117164464
2017-05-19,0.19588120788050878,4.857352698005318
2017-05-26,0.17070286500889353,5.686516719913505
2017-06-02,0.13789251892414778,6.47064483432666
2017-06-09,0.1310355524304161,7.3185293547736725
2017-06-16,0.023795081083075376,7.492674354179379
2017-06-23,0.04769037459467196,7.850002800846085
2017-06-30,-0.08119447877761421,7.212625915028576
2017-07-07,-0.018490490202949794,7.079260926209198
2017-07-14,-0.15924976385147627,5.9518902954674
2017-07-21,0.13211450168800232,6.738221315954732
2017-07-28,-0.0612992416074456,6.325173459503583
2017-08-04,0.06120138268336173,6.712282820937305
2017-08-11,0.20600680477143607,8.0950587576008
2017-08-18,0.14982990020882947,9.30794060343674
2017-08-25,0.05932288638380978,9.860114506321667
2017-09-01,0.13777486346697732,11.218590436198896
2017-09-08,-0.05888236072173514,10.558013347345225
2017-09-15,-0.32534051980699363,7.123063796790753
2017-09-22,0.15472076789454925,8.225149697192082
2017-09-29,0.14867419938004045,9.448017243203097
2017-10-06,0.02488908541537893,9.683169751375152
2017-10-13,0.17164328450623878,11.345220811932643
2017-10-20,0.025659329843090717,11.63633157488872
2017-10-27,0.009833115621278532,11.750752968672135
2017-11-03,0.12657645381507665,13.238121609103638
2017-11-10,0.049743560471606996,13.896632911896573
2017-11-17,0.07720506770282598,14.969523396700868
2017-11-24,0.0799761157620058,16.16672773277747
2017-12-01,0.21625829905180782,19.662916773501617
2017-12-08,0.5335635446510167,30.154332345349072
2017-12-15,0.1290487677184471,34.04571177588888
2017-12-22,0.07128072398361618,36.472514759811766
2017-12-29,-0.05477122508790799,34.474870444380066
2018-01-05,0.297936518993015,44.74619333731384
2018-01-12,-0.14161629670909937,38.40940314505408
2018-01-19,-0.1488181506919043,32.693386799827316
2018-01-26,-0.029614397613328625,31.72519184381088
2018-02-02,-0.15817401309484036,26.707090933671616
2018-02-09,-0.13550100326426218,23.08825331788923
2018-02-16,0.22874820798686635,28.36964988990321
2018-02-23,-0.08407700894241488,25.98441458241664
2018-03-02,0.07613078144280339,27.962628369909794
2018-03-09,-0.15215022986491233,23.7081080358009
2018-03-16,-0.12284152395466486,20.79576791460128
2018-03-23,-0.006921088946686749,20.65183855514967
2018-03-30,-0.2101523828630797,16.311805472281346
2018-04-06,-0.03192863687044367,15.79099175865556
2018-04-13,0.19774668383093674,18.91360801333135
2018-04-20,0.11501878467820892,21.089028220904755
2018-04-27,0.11955726555271151,23.610374768160092
2018-05-04,0.0745193398479349,25.369804309445723
2018-05-11,-0.08256844812123398,23.275058938475397
2018-05-18,-0.09942686060333916,20.9608928978651
2018-05-25,-0.07183932080796318,19.455076588554014
2018-06-01,-0.023503512224035128,18.997813958135396
2018-06-08,0.03873275810684795,19.733651690734753
2018-06-15,-0.14128038609505078,16.945673760802496
2018-06-22,0.0007987313569080001,16.959208801799182
2018-06-29,-0.15052706255646398,14.406388917582621
