date,weekly_simple_returns,cumulative_returns
2017-07-02,,1.0
2017-07-09,0.07578791177380746,1.0757879117738074
2017-07-16,-0.19579946444934435,0.8651492147874174
2017-07-23,0.0877205375328369,0.9410405689546814
2017-07-30,0.00028626814308748425,0.9413099588909261
2017-08-06,0.07871035808757032,1.015400802826627
2017-08-13,0.15308907068676747,1.1708475681059531
2017-08-20,0.013284937377543441,1.1864022047268898
2017-08-27,0.2152058073278617,1.4417228490106953
2017-09-03,0.17650322267723048,1.696191578068481
2017-09-10,-0.0958483072091861,1.5336144866081391
2017-09-17,-0.1705732356022257,1.2720209014609427
2017-09-24,0.037635742964723023,1.3198943531540819
2017-10-01,0.06901250575744775,1.4109835698003508
2017-10-08,0.0008484534575566669,1.4121807236887034
2017-10-15,0.07213333369038047,1.5140460270616636
2017-10-22,0.021789740562770915,1.5470366971914313
2017-10-29,-0.03786074956223772,1.488464728235475
2017-11-05,0.009127717499656754,1.5020510137830116
2017-11-12,0.0992514696349969,1.6511317843677125
2017-11-19,0.11490400076979147,1.8408534321897272
2017-11-26,0.1636897253769173,2.1421822249640194
2017-12-03,0.23836098977847595,2.652794900392301
2017-12-10,0.19214881114842908,3.162526286723297
2017-12-17,0.8417863197801363,5.824697650832041
2017-12-24,0.3542142651950293,7.887888649204726
2017-12-31,0.015061600715570021,8.006692878527923
2018-01-07,0.5579642071130166,12.474140922093193
2018-01-14,-0.058218567858744574,11.747914302340767
2018-01-21,-0.20620272731008496,9.325462332992947
2018-01-28,-0.031453262179820286,9.032146121285281
2018-02-04,-0.18323059701822214,7.377180595126359
2018-02-11,-0.13392300598627582,6.389206394123414
2018-02-18,0.2552710418256483,8.02018576679039
2018-02-25,-0.07285154782734785,7.435902819816847
2018-03-04,-0.008527021836771358,7.372496714096159
2018-03-11,-0.11893643430166922,6.495638243020789
2018-03-18,-0.14042386202321222,5.583495634630137
2018-03-25,-0.029491385783405075,5.418830610849302
2018-04-01,-0.20145537670002567,4.327178048867025
2018-04-08,-0.010503026631327576,4.281729582581279
2018-04-15,0.17684899352273326,5.038949149797291
2018-04-22,0.21690409932091725,6.131917876657973
2018-04-29,0.09258260511463894,6.699626808027994
2018-05-06,0.0560518225886776,7.075153101281928
2018-05-13,-0.09437640000522395,6.4074256220971435
2018-05-20,-0.07134533611243546,5.950285687473192
2018-05-27,-0.13278303976209052,5.160188666437642
2018-06-03,-0.017769182868371692,5.068496330388412
2018-06-10,0.02740021113614623,5.207374199983837
2018-06-17,-0.16941628454488775,4.3251602107876685
2018-06-24,0.0002298487981278977,4.326154343663829
2018-07-01,-0.11481027429445495,3.829467376827637
