date,weekly_simple_returns,cumulative_returns
2017-07-02,,1.0
2017-07-09,0.07101812402825435,1.0710181240282544
2017-07-16,-0.17851003538096177,0.8798306408143194
2017-07-23,0.08457559525157969,0.9542428409817693
2017-07-30,0.0002788655507646583,0.9545089464371829
2017-08-06,0.07813650846295532,1.0290909428084383
2017-08-13,0.15308907068676747,1.1866335188951516
2017-08-20,0.013144208736113255,1.2022308775607782
2017-08-27,0.2152058073278617,1.4609579441607292
2017-09-03,0.17650322267723048,1.7188217295009993
2017-09-10,-0.0958483072091861,1.5540755763339629
2017-09-17,-0.1705732356022257,1.288991876908285
2017-09-24,0.037635742964723023,1.3375040438712211
2017-10-01,0.06901250575744776,1.4298085493994934
2017-10-08,0.0008484534575566669,1.4310216754068754
2017-10-15,0.07213333369038047,1.5342460394371669
2017-10-22,0.021789740562770915,1.5676768625959616
2017-10-29,-0.03786074956223772,1.5083234415067013
2017-11-05,0.009127717499656757,1.5220909917788843
2017-11-12,0.09631278545592065,1.6686878149144735
2017-11-19,0.11412547918397074,1.8591276114000408
2017-11-26,0.1636897253769173,2.163447699550758
2017-12-03,0.23836098977847595,2.6791292345496434
2017-12-10,0.19214881114842908,3.193920731881358
2017-12-17,0.8417863197801364,5.882519510441247
2017-12-24,0.33679445460812796,7.863719460681978
2017-12-31,0.014340839387864401,7.9764917984588415
2018-01-07,0.5434747010797003,12.311513294290942
2018-01-14,-0.05507538265921163,11.633451988493897
2018-01-21,-0.19670189225992044,9.345129968842214
2018-01-28,-0.030478712309263002,9.060302441029199
2018-02-04,-0.1676014533744147,7.5417825839009485
2018-02-11,-0.11878687051437137,6.645917832659566
2018-02-18,0.2445065926467601,8.270888556933496
2018-02-25,-0.06899265764512064,7.700257974304037
2018-03-04,-0.008337487500568397,7.636057169692125
2018-03-11,-0.11001226174412393,6.795997249646861
2018-03-18,-0.1299112918195987,5.9131204677427975
2018-03-25,-0.02735977892777582,5.751338798972048
2018-04-01,-0.179225165247756,4.720554152330452
2018-04-08,-0.009517802041106862,4.675624852384246
2018-04-15,0.16248272328160154,5.435333111442774
2018-04-22,0.19934201581468838,6.518823370502099
2018-04-29,0.08713121267221899,7.086816355969948
2018-05-06,0.05260678444074835,7.4596309763796285
2018-05-13,-0.08712496433341685,6.809710893622102
2018-05-20,-0.06597898988783579,6.360413047432724
2018-05-27,-0.12091464822831446,5.591345941215614
2018-06-03,-0.01640591191283949,5.499614812229819
2018-06-10,0.025298037260506386,5.638744272668041
2018-06-17,-0.1564184836991706,4.756740443569923
2018-06-24,0.00021221454938540225,4.757749893099699
2018-07-01,-0.10737364192261689,4.246892959720642
