,10,15,20,25,30
2016-01-31,0.20678769072316366,0.25873372304231007,0.27116874927923224,0.2001783534577806,0.1685431745792463
2016-02-29,0.3313793044574162,0.32073876259972567,0.37429651146669773,0.40905435023879705,0.38117693914982737
2016-03-31,0.24415286526535218,0.21993099214270018,0.19997504966195417,0.21836071836216572,0.2505165925206593
2016-04-30,-0.24928172302120735,-0.16839667959913274,-0.11462513290275156,-0.1226817351388519,-0.12232855215880589
2016-05-31,0.0903479626380324,0.11069860287650699,0.1247596395957477,0.13905346396481486,0.16584610336566272
2016-06-30,0.42352652112235495,0.3041697810895249,0.25264330221501097,0.2508313983703279,0.2676034248697109
2016-07-31,-0.01574356147856191,-0.042409344034934814,-0.04763029871091251,-0.046937657591632695,-0.04542328799005657
2016-08-31,0.12990058680066852,0.04605857291167623,-0.006724493397924289,-0.024345820993338905,-0.04149824066125132
2016-09-30,0.15883864864066796,0.15306545556080406,0.14487520606127718,0.13837613816271754,0.13261287772053537
2016-10-31,-0.12805500744624593,-0.1094060728498408,-0.07448267651727886,-0.06694391777938838,-0.05763698539349299
2016-11-30,0.008411445666509011,0.0022678927337500925,-0.029134834937600426,-0.03710022207766425,-0.03817809421404197
2016-12-31,0.18629855664241388,0.18062401565518577,0.13310846604091348,0.12256504850687576,0.11506449743881034
2017-01-31,0.1094806744212992,0.07271232492604258,0.058105024320013896,0.06961409595162367,0.08112316758323349
2017-02-28,0.1665320942711891,0.1563090297061988,0.15559405593934716,0.16999674041608256,0.184399424892818
2017-03-31,0.8473698999750634,0.9970937017383585,0.9864836985428609,0.9603224744701608,0.9606510410122489
2017-04-30,0.5690038025774671,0.5328615891180284,0.48606383715629264,0.44859703449705585,0.42423611311787945
2017-05-31,0.967932342565944,1.096298619447295,1.1658916439728277,1.217712992713724,1.1199485287343534
