,10,15,20,25,30
2016-01-01,1.0,1.0,1.0,1.0,1.0
2016-01-08,0.9878106931375729,1.0036766872206542,1.0140640007426536,1.0160038799129931,1.017089364406164
2016-01-15,0.9416443589920912,0.9540816659761726,0.9575395758700377,0.9210422463266774,0.9073082754660378
2016-01-22,0.9971090431407055,1.0404328767638895,1.0360837786897377,0.97735065750322,0.9594496225266883
2016-01-29,1.2033222277140359,1.263047257134836,1.2752306994926041,1.1889517227973496,1.153183764272407
2016-02-05,1.2114109528733679,1.2751538314274289,1.298889572435257,1.2173319880652411,1.180309525977683
2016-02-12,1.5202885143571605,1.5698186014775553,1.6548861630719978,1.5875643137123445,1.506890285912389
2016-02-19,1.5284022711205865,1.579045185795069,1.6654326327274664,1.591890572250738,1.502610318496936
2016-02-26,1.6267502679533359,1.6962013763597799,1.7908285857160176,1.7165754646569422,1.6285349681418484
2016-03-04,1.8076523537076121,1.9424869041860184,2.0695636917170406,2.0317985215956798,1.983206017959754
2016-03-11,2.0608462398187486,2.1143911809879006,2.21749502569305,2.166319009655429,2.1062007794928177
2016-03-18,1.790146454476817,1.9074707454525746,2.0577283100287094,2.0366808266553122,1.9977840911985671
2016-03-25,2.012543842724349,2.0678863532309166,2.1501161309310515,2.0944429239749005,2.042111129343234
2016-04-01,1.929734857742384,1.9997011721402396,2.1121308004319626,2.0704899544641835,2.041302302558937
2016-04-08,1.8075373173075893,1.8792730630862877,1.9776521427522848,1.9233351113450115,1.89244189799294
2016-04-15,1.6083175719492226,1.7473471576776978,1.8715534285394113,1.8181278973390895,1.7850269952661124
2016-04-22,1.64203359851579,1.7854452814161679,1.9229310995832989,1.8690249982827412,1.822563835367621
2016-04-29,1.5508034744145962,1.7375896926002825,1.9092938866538276,1.8438554921526802,1.7983656152615823
2016-05-06,1.5985569576181067,1.8105006817729592,2.000091663085142,1.949906867057717,1.9284536173412943
2016-05-13,1.584677156180103,1.8263178175451789,2.0335769020028382,1.9931903718229942,1.98497564629612
2016-05-20,1.6820220473324416,1.9503509854485193,2.1668134349365213,2.1396482889196498,2.1551153062281805
2016-05-27,1.6934750789705386,1.9349177372712212,2.1558575671991385,2.1093947199199814,2.1087503152425677
2016-06-03,1.8446723130640228,2.140008778957397,2.413993443870636,2.3935942825547087,2.426264674655534
2016-06-10,1.8691284422191285,2.1380019238324803,2.4126041363931585,2.395685720880873,2.4325412359641714
2016-06-17,2.235056000101089,2.526952511832423,2.850506910307104,2.8361252474483307,2.8882380002846397
2016-06-24,2.51491216504491,2.5703917927385533,2.713612955669702,2.641511163874436,2.677722884292892
2016-07-01,2.709717384911454,2.669180088020447,2.74081014412844,2.6339981644395625,2.636255944993164
2016-07-08,2.6466898106448866,2.542022648469912,2.628693267697512,2.5267104951228543,2.529036928119233
2016-07-15,2.6566440874989823,2.5586724364681532,2.6350105014259557,2.5394195346845696,2.550407002051677
2016-07-22,2.590324344003506,2.550221450611205,2.680548296805867,2.6203958840209918,2.668449419398375
2016-07-29,2.4640691452208063,2.457265083745791,2.5828923370464847,2.514848438007959,2.551037402691371
2016-08-05,2.368760149442599,2.3162518628703213,2.414565680763183,2.3223257903415413,2.3258836982210798
2016-08-12,2.6410832464753105,2.530022683212297,2.5519538872828655,2.450138819469484,2.451442622563449
2016-08-19,2.615675420501388,2.492073314565978,2.4924680136756057,2.3805878107728686,2.369360206993825
2016-08-26,2.781080078297006,2.5572478514354553,2.554419578777282,2.441431974915911,2.4315829569916336
2016-09-02,3.1618113868886697,2.8008083582417447,2.722842807728056,2.5887177539548367,2.564642066505985
2016-09-09,3.24101157942261,2.90635174566335,2.8064551154739865,2.6645047422396133,2.6360520463264043
2016-09-16,3.269528015748867,2.9078026687436727,2.8421496711116117,2.7044251461952102,2.681513036345681
2016-09-23,3.240207345096117,2.9631706377113356,2.884469437082607,2.7486073221062832,2.731173957892096
2016-09-30,3.2306758654195393,2.9649445591497243,2.9439605857857685,2.7965797225181883,2.770180733200196
2016-10-07,2.98616176941674,2.7571017322459106,2.753956861821199,2.631863893248176,2.631479905644062
2016-10-14,3.076975862383723,2.8394060192464274,2.856265282801093,2.713288233808737,2.691366596370098
2016-10-21,3.02494025674498,2.8055483394905063,2.8430914435746644,2.7078382181594156,2.689278504561758
2016-10-28,2.825686687346298,2.644976904938818,2.7223173376002716,2.6077182019329896,2.609811125753013
2016-11-04,2.7708745048565904,2.595370787279829,2.694316668874169,2.5927047532982956,2.602933529036926
2016-11-11,2.997252053508538,2.751163302612601,2.760233340370816,2.62433263801241,2.6144335332587176
2016-11-18,2.8691149298469405,2.6681735809128515,2.69897239426532,2.568331118006616,2.562059647044418
2016-11-25,2.837158306655384,2.6445895361224436,2.6419695702351134,2.51130807707922,2.5110021322271945
2016-12-02,2.7596290903988296,2.591882009276255,2.5654647328015465,2.4236069247107204,2.409327478627509
2016-12-09,2.741234276410705,2.6043386119995406,2.6037722256718245,2.4710718306648407,2.466903837302294
2016-12-16,2.95935349420528,2.686366759103016,2.61544046382566,2.4642337945838326,2.4480870518668736
2016-12-23,3.1303025245045824,2.8725647809683896,2.779546671206562,2.6096875485029947,2.5849480610123425
2016-12-30,3.38997747302543,3.1452843356548463,3.0016534200341316,2.8227539716576002,2.8004843734079823
2017-01-06,3.396559423393718,3.2025973353733352,3.0788181566414656,2.9290261636599326,2.9393587262413687
2017-01-13,3.2936598743233088,3.0768573762762816,2.9351887306423476,2.7825658829716495,2.7825283729608388
2017-01-20,3.554562399809627,3.30480281400676,3.1309364320165094,2.9769006650345884,2.9856259137336294
